Time: 141.000000, Points: 4.664418, Fuel Used: 58.942627
Time: 142.000000, Points: 4.664418, Fuel Used: 59.726250
Time: 143.000000, Points: 4.664418, Fuel Used: 60.799847
Time: 144.000000, Points: 4.747600, Fuel Used: 60.799847
SPH1: Time: 140.000000, Points: 6.710947, Fuel Used: 52.105770
Time: 141.000000, Points: 6.809622, Fuel Used: 53.087891
Time: 142.000000, Points: 6.809622, Fuel Used: 53.885323
Time: 143.000000, Points: 6.809622, Fuel Used: 54.779411
Time: 144.000000, Points: 6.907620, Fuel Used: 54.779411
SPH2: Time: 145.000000, Points: 4.826459, Fuel Used: 60.799847
Time: 146.000000, Points: 4.925184, Fuel Used: 61.781967
Time: 147.000000, Points: 4.984612, Fuel Used: 62.810688
Time: 148.000000, Points: 5.043720, Fuel Used: 63.892918
Time: 149.000000, Points: 5.090471, Fuel Used: 65.040733
SPH1: Time: 145.000000, Points: 7.005619, Fuel Used: 54.779411
Time: 146.000000, Points: 7.103718, Fuel Used: 55.500896
Time: 147.000000, Points: 7.103718, Fuel Used: 56.569317
Time: 148.000000, Points: 7.103718, Fuel Used: 57.651546
Time: 149.000000, Points: 7.103718, Fuel Used: 58.369579
SPH2: Time: 150.000000, Points: 5.090471, Fuel Used: 66.072906
Time: 151.000000, Points: 5.140645, Fuel Used: 66.072906
Time: 152.000000, Points: 5.196606, Fuel Used: 66.072906
Time: 153.000000, Points: 5.258578, Fuel Used: 66.072906
Time: 154.000000, Points: 5.316624, Fuel Used: 67.025684
SPH1: Time: 150.000000, Points: 7.103718, Fuel Used: 59.432823
Time: 151.000000, Points: 7.103718, Fuel Used: 59.432823
Time: 152.000000, Points: 7.103718, Fuel Used: 59.432823
Time: 153.000000, Points: 7.103718, Fuel Used: 59.432823
Time: 154.000000, Points: 7.103718, Fuel Used: 60.323460
SPH2: Time: 155.000000, Points: 5.371066, Fuel Used: 67.883526
Time: 156.000000, Points: 5.421995, Fuel Used: 68.625725
Time: 157.000000, Points: 5.470000, Fuel Used: 69.421431
Time: 158.000000, Points: 5.518702, Fuel Used: 70.210232
Time: 159.000000, Points: 5.518702, Fuel Used: 70.731497
SPH1: Time: 155.000000, Points: 7.103718, Fuel Used: 61.217552
Time: 156.000000, Points: 7.145682, Fuel Used: 62.484467
Time: 157.000000, Points: 7.187419, Fuel Used: 63.226665
Time: 158.000000, Points: 7.226755, Fuel Used: 64.070698
Time: 159.000000, Points: 7.260912, Fuel Used: 64.364124
SPH2: Time: 160.000000, Points: 5.518702, Fuel Used: 71.150925
Time: 161.000000, Points: 5.518702, Fuel Used: 71.689451
Time: 162.000000, Points: 5.518702, Fuel Used: 72.290113
